category,image,anomaly_kind,area_frac,family,severity,restorer,tier,drr,residual_corr,acg,dremr,psnr_normal,psnr_full,ssim_full,psnr_degraded
carpet,0,texture,0.0123291015625,defocus,2,identity,classical,0.9295088648796082,0.6486158599385995,1.0,0.0,21.42068524791039,21.4499360752465,0.6399627327919006,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,bilateral,classical,0.9280482530593872,0.6494262079334482,1.1118005843603684,-0.09061667834852671,20.67673542193283,20.70745486250339,0.545952558517456,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,restormer_deblur,deep,0.9345706105232239,0.714639225416772,0.7877314158697954,0.0905333746522643,22.028150208890615,22.060469575397743,0.7726662755012512,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,3,identity,classical,0.896259069442749,0.3332841102615191,1.0,0.0,18.964335203468163,18.99580728256529,0.2984691560268402,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,bilateral,classical,0.896519124507904,0.27475872514701855,1.1066779729390408,-0.0470884352064731,18.58728850296499,18.62013169007767,0.21546481549739838,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,restormer_deblur,deep,0.944535493850708,0.4029259935707626,0.8591774569237491,0.027895759183623192,19.108348877768353,19.143226737121886,0.42520689964294434,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,4,identity,classical,0.844809889793396,0.00813113276164753,1.0,0.0,17.591101960312468,17.621475132747612,0.013260760344564915,17.621475132747612
carpet,0,texture,0.0123291015625,defocus,4,bilateral,classical,0.8438366651535034,0.09009335064375447,1.085980999820753,0.0346777026856433,17.90753953952219,17.936236772413764,0.07764064520597458,17.621475132747612
carpet,0,texture,0.0123291015625,defocus,4,restormer_deblur,deep,0.8423118591308594,-0.10297677701808002,1.0985162333816567,-0.06580758373975937,16.917969182840814,16.952379288519104,-0.09428223967552185,17.621475132747612
carpet,0,texture,0.0123291015625,motion,2,identity,classical,0.9095127582550049,0.5008293459299105,1.0,0.0,19.88606445180497,19.916526391412525,0.4655543863773346,19.916526391412525
carpet,0,texture,0.0123291015625,motion,2,bilateral,classical,0.9074086546897888,0.4725478016988959,1.102118257819032,-0.051131296987641406,19.43859264726704,19.47021776385212,0.3782529830932617,19.916526391412525
carpet,0,texture,0.0123291015625,motion,2,restormer_deblur,deep,0.977820634841919,0.7238390720932543,0.8311655846365691,0.2261853954084232,22.0801821122485,22.11166169413255,0.7237774729728699,19.916526391412525
carpet,0,texture,0.0123291015625,motion,3,identity,classical,0.9172256588935852,0.49174642496074283,1.0,0.0,19.520933282701392,19.553132034179082,0.46031323075294495,19.553132034179082
carpet,0,texture,0.0123291015625,motion,3,bilateral,classical,0.9153130650520325,0.5010411955422281,1.0532556390426184,-0.007069524519606629,19.452371070374248,19.484600985950564,0.42594340443611145,19.553132034179082
carpet,0,texture,0.0123291015625,motion,3,restormer_deblur,deep,0.9744253754615784,0.6644991055119431,0.9841960018671557,0.1822906896227373,21.235169972172297,21.269160752544416,0.6658966541290283,19.553132034179082
carpet,0,texture,0.0123291015625,motion,4,identity,classical,0.9055846333503723,0.44594305300126336,1.0,0.0,19.635219530717496,19.665462362223725,0.4558984339237213,19.665462362223725
carpet,0,texture,0.0123291015625,motion,4,bilateral,classical,0.9070823788642883,0.4426781297802738,1.083260162666651,-0.03499186481376637,19.323798404796094,19.355084048897066,0.38770708441734314,19.665462362223725
carpet,0,texture,0.0123291015625,motion,4,restormer_deblur,deep,0.9055846333503723,0.44594305300126336,1.0,0.0,19.635219530717496,19.665462362223725,0.4558984339237213,19.665462362223725
carpet,1,scratch,0.001251220703125,defocus,2,identity,classical,0.454721063375473,0.46419786797787316,1.0,0.0,20.817082201134255,20.809162129041713,0.6299141049385071,20.809162129041713
carpet,1,scratch,0.001251220703125,defocus,2,bilateral,classical,0.4228290617465973,0.20155745107864437,0.9849980121399797,-0.08204851706502025,20.13684874839294,20.129041738105684,0.5424820780754089,20.809162129041713
carpet,1,scratch,0.001251220703125,defocus,2,restormer_deblur,deep,0.5580597519874573,0.5309003247457424,1.0146796398434246,0.08836288809775039,21.449543854386334,21.441183494241404,0.7607904076576233,20.809162129041713
carpet,1,scratch,0.001251220703125,defocus,3,identity,classical,0.3213426470756531,0.30599151542766445,1.0,0.0,18.37296836883603,18.366201381655767,0.27998924255371094,18.366201381655767
carpet,1,scratch,0.001251220703125,defocus,3,bilateral,classical,0.2773076295852661,0.2817679641436564,0.8606776580599167,-0.041507619825969844,18.032624550576646,18.02555624045632,0.2024196833372116,18.366201381655767
carpet,1,scratch,0.001251220703125,defocus,3,restormer_deblur,deep,0.3916086256504059,0.06056655459687219,1.0505069351303569,0.022626160963105102,18.490419676358666,18.48368327533894,0.3956734240055084,18.366201381655767
carpet,1,scratch,0.001251220703125,defocus,4,identity,classical,0.2170095145702362,0.26132383257666403,1.0,0.0,17.045214829905355,17.03842737085911,-0.0034003453329205513,17.03842737085911
carpet,1,scratch,0.001251220703125,defocus,4,bilateral,classical,0.19740313291549683,0.24884270452881327,1.5792442066141812,0.03479232236754781,17.35935571046263,17.351837940223863,0.061344459652900696,17.03842737085911
carpet,1,scratch,0.001251220703125,defocus,4,restormer_deblur,deep,0.21290326118469238,0.05246129637854861,0.10165242007200272,-0.05952574860541926,16.43718020754035,16.428822656431098,-0.10089805722236633,17.03842737085911
carpet,1,scratch,0.001251220703125,motion,2,identity,classical,0.2808142602443695,0.38808393107922273,1.0,0.0,19.750372415465193,19.73878803215801,0.524133026599884,19.73878803215801
carpet,1,scratch,0.001251220703125,motion,2,bilateral,classical,0.26069340109825134,0.35194795764258163,0.9910876532299305,-0.04368533009344744,19.368805656220967,19.357636935742065,0.4543701112270355,19.73878803215801
carpet,1,scratch,0.001251220703125,motion,2,restormer_deblur,deep,0.350494921207428,0.6243686807695186,1.011590198580363,0.12069431541827358,20.810473176717743,20.79797390374376,0.6759834885597229,19.73878803215801
carpet,1,scratch,0.001251220703125,motion,3,identity,classical,0.29806527495384216,0.322080447064717,1.0,0.0,17.87191985914575,17.86565044989372,0.20469851791858673,17.86565044989372
carpet,1,scratch,0.001251220703125,motion,3,bilateral,classical,0.26540571451187134,0.35264155579748535,0.9646576720232016,-0.0036454521623490166,17.81660311558359,17.80981352385185,0.16991914808750153,17.86565044989372
carpet,1,scratch,0.001251220703125,motion,3,restormer_deblur,deep,0.430441290140152,0.6383978470063914,1.1319415975925613,0.2518715691889838,20.377923726149625,20.370338344995893,0.6075810790061951,17.86565044989372
carpet,1,scratch,0.001251220703125,motion,4,identity,classical,0.7276608347892761,0.3974320385373678,1.0,0.0,19.451692606991948,19.4512020972805,0.5518166422843933,19.4512020972805
carpet,1,scratch,0.001251220703125,motion,4,bilateral,classical,0.6873311400413513,0.3652709860035003,0.9807094484262857,-0.01356541029741054,19.32360283447395,19.322875320967782,0.5228814482688904,19.4512020972805
carpet,1,scratch,0.001251220703125,motion,4,restormer_deblur,deep,0.82651287317276,0.37863403827986397,0.8748639943601462,-0.07774322307198722,18.819980929511658,18.818778977738774,0.5580474138259888,19.4512020972805
carpet,2,blob,0.0081939697265625,defocus,2,identity,classical,0.9853667616844177,0.993662418644037,1.0,0.0,21.885782272125894,21.886455427142643,0.6372044086456299,21.886455427142643
carpet,2,blob,0.0081939697265625,defocus,2,bilateral,classical,0.9777870774269104,0.979234130445416,1.0810394400391012,-0.09688131572782854,21.09101688498098,21.09218725628363,0.536446750164032,21.886455427142643
carpet,2,blob,0.0081939697265625,defocus,2,restormer_deblur,deep,1.034317135810852,0.9442975632008018,0.7186799217058277,0.19139303544416653,23.602526655561185,23.605198053272364,0.8395926356315613,21.886455427142643
carpet,2,blob,0.0081939697265625,defocus,3,identity,classical,0.9708417654037476,0.9914328350198106,1.0,0.0,19.46030586753398,19.46141155137972,0.3010583221912384,19.46141155137972
carpet,2,blob,0.0081939697265625,defocus,3,bilateral,classical,0.9612963199615479,0.9717845425320243,1.1198785563583356,-0.048010901844118825,19.07352080128837,19.07485584453074,0.21525442600250244,19.46141155137972
carpet,2,blob,0.0081939697265625,defocus,3,restormer_deblur,deep,1.0033737421035767,0.9586225021415896,0.562429790784065,0.14058013637568534,20.664136735023114,20.665758783716356,0.5760579705238342,19.46141155137972
carpet,2,blob,0.0081939697265625,defocus,4,identity,classical,0.9401053190231323,0.9851883688075901,1.0,0.0,18.11519415752248,18.116290238620845,0.02078614942729473,18.116290238620845
carpet,2,blob,0.0081939697265625,defocus,4,bilateral,classical,0.9294997453689575,0.9661694511440191,1.1215379065947768,0.03324160770198947,18.421716575447288,18.422003998346515,0.08229103684425354,18.116290238620845
carpet,2,blob,0.0081939697265625,defocus,4,restormer_deblur,deep,0.9919474124908447,0.9705894262200604,0.8041342552749151,-0.06444891135853537,17.48020609421939,17.482247478046435,-0.08139292150735855,18.116290238620845
carpet,2,blob,0.0081939697265625,motion,2,identity,classical,0.9766216278076172,0.9928068884077017,1.0,0.0,20.643214799969442,20.648263619856813,0.543822705745697,20.648263619856813
carpet,2,blob,0.0081939697265625,motion,2,bilateral,classical,0.9735482931137085,0.9794745676553743,1.074059737770227,-0.012721139633839584,20.520657546335688,20.525188748585542,0.5047853589057922,20.648263619856813
carpet,2,blob,0.0081939697265625,motion,2,restormer_deblur,deep,0.9923073053359985,0.9771386532482808,0.9015661321477072,0.059805527219258914,21.19759846465425,21.200284836016227,0.6303732991218567,20.648263619856813
carpet,2,blob,0.0081939697265625,motion,3,identity,classical,0.9412522912025452,0.985215407618064,1.0,0.0,18.07859878893123,18.079275004900765,0.05942797288298607,18.079275004900765
carpet,2,blob,0.0081939697265625,motion,3,bilateral,classical,0.9322501420974731,0.9700386739638123,1.2615312295543555,0.03364212426127744,18.342626265815465,18.342930871364448,0.08215919882059097,18.079275004900765
carpet,2,blob,0.0081939697265625,motion,3,restormer_deblur,deep,1.0045307874679565,0.9460217489108954,0.7282825111944174,0.23940992659221838,20.36900612164377,20.368363277389236,0.5048103928565979,18.079275004900765
carpet,2,blob,0.0081939697265625,motion,4,identity,classical,0.93363356590271,0.9783063376198753,1.0,0.0,18.52480154777039,18.524825162317956,0.13295094668865204,18.524825162317956
carpet,2,blob,0.0081939697265625,motion,4,bilateral,classical,0.9242866635322571,0.9559690445285759,1.1551698516955449,-0.0003066449143900307,18.528976405765125,18.529382004376227,0.11615687608718872,18.524825162317956
carpet,2,blob,0.0081939697265625,motion,4,restormer_deblur,deep,0.93363356590271,0.9783063376198753,1.0,0.0,18.52480154777039,18.524825162317956,0.13295094668865204,18.524825162317956
carpet,3,texture,0.005035400390625,defocus,2,identity,classical,0.6926053166389465,0.7774028089859147,1.0,0.0,22.109768489266767,22.127554636668112,0.6411659121513367,22.127554636668112
carpet,3,texture,0.005035400390625,defocus,2,bilateral,classical,0.676388680934906,0.7715279154989092,1.1767855824680427,-0.09913230900493342,21.299338553095634,21.316515470834304,0.5398292541503906,22.127554636668112
carpet,3,texture,0.005035400390625,defocus,2,restormer_deblur,deep,0.9327478408813477,0.8755351935870318,0.7493991085281746,0.1814118648570615,23.74282119676176,23.75333692807907,0.8380947113037109,22.127554636668112
carpet,3,texture,0.005035400390625,defocus,3,identity,classical,0.6154541969299316,0.5287975720927341,1.0,0.0,19.69260631587888,19.710648284158804,0.3092760741710663,19.710648284158804
