category,image,anomaly_kind,area_frac,family,severity,restorer,tier,drr,acg,dremr,psnr_normal,psnr_full,ssim_full,psnr_degraded
carpet,0,texture,0.0123291015625,defocus,2,identity,classical,0.9295088648796082,1.0,0.0,21.42068524791039,21.4499360752465,0.6399627327919006,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_nsr_1e-05,classical,0.4163225591182709,0.04391363209165635,-1.8835021521144464,12.33212810748925,12.310645893753163,-0.022438684478402138,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_nsr_0.0001,classical,0.4270422160625458,0.04695793933762546,-1.4808217929164966,13.615222481717451,13.585235614198021,-0.031174054369330406,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_nsr_0.001,classical,0.432029664516449,0.04659675440596778,-1.303184611592192,14.276007384240884,14.236459769780424,-0.029860101640224457,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_nsr_0.01,classical,0.4297794699668884,0.048941930165170955,-1.1399218652618228,14.919033572339115,14.867242331335737,-0.01963943988084793,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_nsr_0.1,classical,0.38903167843818665,0.05136093239079828,-0.9177015277105589,15.92697432198334,15.832734564736574,0.023570531979203224,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,2,wiener_nsr_1,classical,0.2097039371728897,0.051331180697779984,-1.7933973479183059,13.1196738864848,12.981782611154976,0.05135905742645264,21.4499360752465
carpet,0,texture,0.0123291015625,defocus,3,identity,classical,0.896259069442749,1.0,0.0,18.964335203468163,18.99580728256529,0.2984691560268402,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_nsr_1e-05,classical,0.3018920123577118,0.014246935038232175,-1.2683242163406323,11.935200946528335,11.903183201843376,-0.04722987487912178,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_nsr_0.0001,classical,0.31076133251190186,0.015153547994714592,-0.9180765958174597,13.405849335526153,13.362142769196465,-0.08299509435892105,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_nsr_0.001,classical,0.3146703839302063,0.014133079057365022,-0.743382792044117,14.273506766437778,14.215369896201937,-0.13271594047546387,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_nsr_0.01,classical,0.31008973717689514,0.012718391343645014,-0.5993924072876584,15.009208339889621,14.934563690576537,-0.21346861124038696,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_nsr_0.1,classical,0.28171107172966003,0.012744357497746292,-0.3991307815814362,16.183724614067728,16.051588545043725,-0.10571859031915665,18.99580728256529
carpet,0,texture,0.0123291015625,defocus,3,wiener_nsr_1,classical,0.1506868451833725,0.013181760395723453,-1.0978546876533977,13.110268816157527,12.956554800102891,0.02310229279100895,18.99580728256529
