step,total,elapsed_s,rec_raw,rec_scaled,deg_raw,deg_scaled,freq_raw,freq_scaled,pres_raw,pres_scaled
1,2.5999999046325684,1.04,0.03913152078166604,0.9999999850988388,0.25205386779271066,0.9999999795109034,3.191052168607712,0.9999999403953552,0.06396870594471693,0.9999999850988388
2,3.9341535568237305,1.56,0.05192354694008827,1.326898232102394,0.24856414878740907,0.9861548542976379,4.510603994131088,1.413516141474247,0.12619914952665567,1.9728263169527054
3,10.397689819335938,2.39,0.13668371364474297,3.49293115735054,0.20605609635822475,0.817508140578866,4.416949570178986,1.384167104959488,0.4066866673529148,6.357587814331055
4,2.1812257952988148,2.94,0.05167438252829015,1.3205308578908443,0.020139410393312573,0.07990121422335505,5.651750087738037,1.7711242511868477,0.04117230046540499,0.6436319192871451
5,5.371506154537201,4.11,0.10255062486976385,2.620665416121483,0.14387211436405778,0.5707990508526564,3.022358477115631,0.9471353590488434,0.1516523826867342,2.3707276582717896
6,3.8020335733890533,5.18,0.07045878935605288,1.800563558936119,0.1460207006894052,0.5793233625590801,3.0130165815353394,0.9442078322172165,0.10346219036728144,1.6173875704407692
7,2.6977135837078094,6.26,0.05007483274675906,1.2796546444296837,0.02082890970632434,0.08263673819601536,5.009979635477066,1.5700086504220963,0.07802517444361001,1.2197396866977215
8,3.9905059337615967,6.96,0.07868550159037113,2.0107958614826202,0.2555116377770901,1.0137183628976345,2.830434203147888,0.8869908228516579,0.08854240365326405,1.3841518461704254
9,4.19771733880043,8.03,0.10439557768404484,2.6678128838539124,0.15704222093336284,0.6230502296239138,3.1715111136436462,0.9938762784004211,0.0715804728679359,1.1189920213073492
10,7.052604496479034,8.53,0.12830964103341103,3.278932958841324,0.16466941311955452,0.6533103752881289,2.721186578273773,0.8527552485466003,0.21504621068015695,3.36174076795578
11,6.4800044894218445,9.39,0.15979124326258898,4.083440661430359,0.08925807755440474,0.35412302520126104,5.073682069778442,1.589971475303173,0.1318078525364399,2.060505196452141
12,5.380477070808411,10.04,0.11638932675123215,2.9743113219738007,0.19836412370204926,0.7869909834116697,3.90812349319458,1.2247130572795868,0.12091357447206974,1.8901987671852112
13,4.590227484703064,10.67,0.08468081895262003,2.164005219936371,0.2692131199873984,1.0680777169764042,5.287465155124664,1.656965970993042,0.11044112872332335,1.7264868468046188
14,6.701496064662933,11.14,0.184573857113719,4.716756582260132,0.16425110399723053,0.6516507863998413,9.491826117038727,2.9745128378272057,0.08709102449938655,1.361462950706482
15,3.6868444681167603,12.34,0.042845338582992554,1.094906009733677,0.26778128556907177,1.0623970003798604,4.540346086025238,1.4228366240859032,0.12272117473185062,1.9184564352035522
16,5.2570077776908875,13.31,0.11134835612028837,2.8454900979995728,0.12954346323385835,0.5139514836482704,6.575055122375488,2.0604661107063293,0.12464272370561957,1.9484953209757805
17,8.157100558280945,14.42,0.19400648539885879,4.957805588841438,0.04721766302827746,0.18733163736760616,23.40775153040886,7.335433561354876,0.15173926576972008,2.37208591401577
18,9.809889554977417,15.46,0.2377805132418871,6.0764444172382355,0.04406182561069727,0.1748111378401518,5.188054025173187,1.6258128881454468,0.22283230803441256,3.483458148315549
19,1.8034377694129944,16.27,0.03833988541737199,0.9797698557376862,0.14176513766869903,0.5624397993087769,2.1105737686157227,0.6614036858081818,0.03046878322493285,0.4763076175004244
20,14.737051784992218,17.1,0.26703296415507793,6.823986232280731,0.2221930641680956,0.8815300650894642,6.392884433269501,2.00337815284729,0.46517801273148507,7.271962214261293
21,5.091553330421448,17.6,0.1090497737750411,2.786750167608261,0.06035361951217055,0.2394473049789667,6.261995732784271,1.9623607397079468,0.1272237477824092,1.9888435006141663
22,2.9207191169261932,18.26,0.06820584740489721,1.7429899275302887,0.015878183767199516,0.06299519911408424,7.141807198524475,2.2380727529525757,0.059006291441619396,0.9224243275821209
23,5.688987880945206,19.18,0.12703515961766243,3.2463638707995415,0.2523243445903063,1.0010730754584074,3.5630293786525726,1.1165687963366508,0.11709027737379074,1.8304305970668793
24,7.665300607681274,21.16,0.12524788081645966,3.20069020986557,0.049743300303816795,0.19735186314210296,4.573764741420746,1.4333092272281647,0.2701144777238369,4.222603440284729
25,6.383927226066589,22.35,0.11910792207345366,3.043784536421299,0.2771532218903303,1.099579332396388,6.504897862672806,2.0384804904460907,0.16545537114143372,2.5865048468112946
26,3.869648575782776,23.03,0.10145431850105524,2.592649430036545,0.011623701779171824,0.04611594043672085,3.276797294616699,1.026870422065258,0.07364424085244536,1.151254191994667
27,4.507256746292114,23.92,0.06397141888737679,1.6347797214984894,0.2458943510428071,0.9755626362748444,5.780154049396515,1.8113629519939423,0.1409588474780321,2.2035594433546066
28,7.14532744884491,24.58,0.2091790921986103,5.345539450645447,0.21505913883447647,0.853226849809289,5.476884663105011,1.7163255512714386,0.07686109934002161,1.201542153954506
29,1.3885839134454727,25.43,0.03028132882900536,0.7738346867263317,0.13954677945002913,0.5536387218162417,3.1368263363838196,0.9830068796873093,0.015328769506595563,0.23962919478071854
30,7.975558042526245,26.09,0.1418132595717907,3.624016046524048,0.16832314245402813,0.6678062081336975,4.033855557441711,1.2641145437955856,0.24891677871346474,3.891227275133133
