restorer,drr_mean,drr_rel_mean,drr_rel_median,drr_rel_p10,residual_corr_mean,acg_mean,dremr_mean,psnr_normal,n
wiener,0.33908259931227397,0.3957503289733185,0.38394542747398475,0.025925058592537496,0.04724417877734567,0.5808269711449994,-3.37722073244265,17.804547573323983,180
wiener_dbde_nsr,0.35550819726971283,0.4169692281731262,0.40125304938726336,0.025925058592537496,0.07070879676492976,0.6172767467244918,-3.2439518065765736,18.4165154382718,180
identity,0.8010778627461858,1.0,1.0,1.0,0.7342499948534336,1.0,0.0,28.330313705946725,180
wiener_hqs_vst,0.9224068578746584,1.2465256802743288,1.079293080756302,0.9999999926401926,0.8304653506051491,1.311096517031135,0.15104523465532352,30.569964050248696,180
wiener_hqs_rawpixel,0.9312612424294154,1.258669534788229,1.0831088349525886,1.0,0.8204155602242095,1.309889148969566,0.241173190408186,31.871974380580674,180
wiener_hqs_vst_nofloor,0.9083781260583136,1.2687286634487027,1.0153161666866821,0.6674185170367842,0.5247637531030536,0.807178480819519,-6.842461225943902,15.715713203781446,180
