step,total,elapsed_s,rec_raw,rec_scaled,deg_raw,deg_scaled,freq_raw,freq_scaled,pres_raw,pres_scaled
1,1.5999999344348907,2.36,0.03913152078166604,0.9999999850988388,0.25205386779271066,0.9999999795109034,3.191052168607712,0.9999999403953552,0.06396870594471693,0.9999999850988388
2,1.9614394903182983,3.45,0.05192834232002497,1.3270207941532135,0.24855935294181108,0.9861358273774385,4.510576605796814,1.4135075248777866,0.12619801051914692,1.9728084728121758
3,4.039965391159058,5.25,0.1366754537448287,3.492720067501068,0.2060963506810367,0.8176678409799933,4.4167808294296265,1.3841142058372498,0.40666453167796135,6.357241749763489
4,1.536805845797062,6.59,0.05164621118456125,1.3198109362274408,0.020116377621889114,0.07980983424931765,5.651036411523819,1.7709006294608116,0.04118570504942909,0.6438414538279176
5,3.007413923740387,8.82,0.10283766128122807,2.6280005425214767,0.14350740262307227,0.569352081976831,3.0231191515922546,0.9473737329244614,0.1517320815473795,2.371973544359207
6,2.1855053305625916,10.83,0.07060665544122458,1.8043421506881714,0.14455070719122887,0.5734912976622581,3.0129127204418182,0.9441752955317497,0.10364205110818148,1.6201992705464363
7,1.4644677266478539,13.08,0.049626160180196166,1.2681888788938522,0.01997162587940693,0.07923554442822933,4.999136567115784,1.5666106566786766,0.07806956849526614,1.2204337604343891
8,2.5894804149866104,14.52,0.07835271023213863,2.0022913813591003,0.2512687831185758,0.9968852456659079,2.8319424092769623,0.8874634727835655,0.08931419719010592,1.3962170332670212
9,3.076967269182205,16.57,0.10470501985400915,2.6757206469774246,0.15221827034838498,0.6039116391912103,3.168419301509857,0.9929073043167591,0.07248333963798359,1.1331062382087111
10,3.5402467250823975,17.63,0.12325186934322119,3.1496825516223907,0.15426022745668888,0.6120128929615021,2.6982836723327637,0.845578022301197,0.2154570312704891,3.368163011968136
11,4.3444013595581055,19.3,0.15740473754703999,4.02245382219553,0.08233503217343241,0.32665648125112057,5.061623215675354,1.5861924588680267,0.1315386975184083,2.0562975630164146
12,3.437558561563492,20.64,0.1152019714936614,2.943968489766121,0.1873381147161126,0.7432463420554996,3.892027497291565,1.2196689695119858,0.12073704693466425,1.8874392285943031
13,2.812069594860077,21.92,0.08353894203901291,2.134824812412262,0.2583083852659911,1.0248141689226031,5.26005420088768,1.6483760327100754,0.11055882554501295,1.7283267378807068
14,5.1807467341423035,22.99,0.1789899873547256,4.574061654508114,0.1571137118153274,0.6233338210731745,9.414185166358948,2.950181946158409,0.08681656094267964,1.3571723625063896
15,1.7013990581035614,24.35,0.040894944686442614,1.0450640171766281,0.25950844842009246,1.029575341846794,4.5168498158454895,1.4154734313488007,0.12284203805029392,1.9203457981348038
16,3.332880884408951,26.23,0.11250401474535465,2.875022768974304,0.12710353103466332,0.5042712995782495,6.56471186876297,2.0572248101234436,0.12661242624744773,1.979286976158619
17,5.807782031595707,28.39,0.19490251201204956,4.980703771114349,0.047242832370102406,0.18743149144575,23.4019837975502,7.333626087754965,0.15165913198143244,2.370833158493042
18,6.34195140004158,30.61,0.23838184587657452,6.091811418533325,0.04413596214726567,0.17510527931153774,5.188236892223358,1.6258701980113983,0.22315396019257605,3.488486308604479
19,1.3330228701233864,32.39,0.03856181795708835,0.9854413270950317,0.14186578849330544,0.5628391662612557,2.111264429986477,0.6616201158612967,0.030500429798848927,0.4768023397773504
20,7.457538187503815,33.99,0.2666420452296734,6.813996493816376,0.22340375930070877,0.8863333724439144,6.394071638584137,2.0037501752376556,0.46506288030650467,7.270162230357528
21,3.096811592578888,35.08,0.10886704083532095,2.782080441713333,0.059628832968883216,0.23657177947461605,6.268670558929443,1.964452475309372,0.12731863092631102,1.9903268069028854
22,1.9884778559207916,36.47,0.06792392209172249,1.7357853651046753,0.014379479922354221,0.05704923206940293,7.153314471244812,2.241678833961487,0.05870346422307193,0.917690321803093
23,3.7669751793146133,37.55,0.12314392626285553,3.146924115717411,0.25634001940488815,1.017004868015647,3.5595757961273193,1.1154865100979805,0.1169326277449727,1.8279661238193512
24,3.429815113544464,40.0,0.124764584004879,3.1883396804332733,0.04954315675422549,0.19655780913308263,4.569476962089539,1.431965559720993,0.26967972330749035,4.215806990861893
25,3.798595055937767,42.12,0.11904376186430454,3.0421449691057205,0.2784446878358722,1.104703051969409,6.51288515329361,2.0409835502505302,0.1653535095974803,2.5849125534296036
26,2.7631276696920395,43.45,0.1033554244786501,2.641231894493103,0.00950956525048241,0.03772830497473478,3.2877944707870483,1.0303166806697845,0.07354800775647163,1.1497498266398907
27,2.278961956501007,45.08,0.06275658123195171,1.6037347614765167,0.24904351052828133,0.9880566666834056,5.782153129577637,1.8119894862174988,0.1406101332977414,2.1981080770492554
28,5.82888263463974,46.47,0.20424042455852032,5.21933251619339,0.22079680929891765,0.8759905491024256,5.474405586719513,1.7155486643314362,0.07667326554656029,1.1986058503389359
29,1.1587173268198967,48.32,0.030396040063351393,0.7767661064863205,0.14277392718940973,0.5664420975372195,3.1505323350429535,0.9873019829392433,0.015466012171600596,0.24177466437686235
30,4.132109642028809,49.74,0.1433394644409418,3.663018047809601,0.17273858934640884,0.6853240933269262,4.034433871507645,1.264295756816864,0.2489521037787199,3.891779601573944
31,3.0371876284480095,51.52,0.09334805572871119,2.385495163500309,0.2710890071466565,1.0755200749263167,3.635643482208252,1.1393243409693241,0.16598769649863243,2.594826489686966
