nsr,drr_rel_mean,drr_rel_scratch,residual_corr_scratch,dremr_mean,psnr_normal
1e-05,0.5231234632092082,0.15300620833061973,0.02828425389841545,-5.293994803047395,15.540883746831138
0.0001,0.476990628095929,0.1280487093028199,0.013272447376550126,-4.068310599645704,16.686670495743343
0.001,0.4321137100998929,0.11088053644817515,-0.017178984336964437,-3.524409863527439,17.354021238661698
0.01,0.3957503289733185,0.0931986769504304,-0.058037148638297176,-3.37722073244265,17.804547573323983
0.1,0.33925718161082113,0.060141618760748,-0.03955759595309413,-5.565224800735246,17.20480516835243
1.0,0.17648115129810266,0.02249707267934055,0.11994163820148597,-21.23843208194266,10.284635094485274
