anomaly_kind,restorer,n,drr_mean,relative_drr,residual_corr_mean,psnr_normal_mean
overall,divide_lpres_off,288.0,0.92479278058939,1.164753742116076,0.5164746467064085,26.514665388106305
overall,divide_lpres_on,288.0,0.8645051266260756,1.0888229260121522,0.7866656125896596,26.385282490634797
overall,identity,288.0,0.7939813774792128,1.0,0.725215958857778,24.2551057831455
overall,restormer_deblur,288.0,0.8376319173525594,1.0549767804528758,0.7371484820297614,24.25211408189732
overall,wiener,288.0,0.4643030053215777,0.5847782057504662,0.14999039006133025,17.236166233305518
blob,divide_lpres_off,72.0,0.7273986906641059,0.776322492381449,0.27620110792397756,26.548926444948634
blob,divide_lpres_on,72.0,0.9440136419402229,1.0075066572968827,0.8595015148050146,26.79296807310142
blob,identity,72.0,0.9369800537824631,1.0,0.9175283228736559,24.76481430538324
blob,restormer_deblur,72.0,0.9413897432386875,1.004706278899346,0.8387481773802573,24.675358877507204
blob,wiener,72.0,0.7253355804002948,0.7741206202546277,0.39426527736151495,17.817843551983024
scratch,divide_lpres_off,108.0,0.5897643296392979,0.8647394883734314,0.5903023597890639,26.148972446966628
scratch,divide_lpres_on,108.0,0.8111123953152586,1.1892901664080713,0.7783782129885678,25.643252441545982
scratch,identity,108.0,0.682013875356427,1.0,0.6485041433649955,23.379279507121492
scratch,restormer_deblur,108.0,0.7578006561983515,1.1111220512959763,0.7074602956784218,23.490856737512097
scratch,wiener,108.0,0.18291640761135905,0.26820041969932823,0.023781323660140265,16.509510130292576
texture,divide_lpres_off,108.0,1.3914172914896712,1.716492834550842,0.6028292928120403,26.857517624684434
texture,divide_lpres_on,108.0,0.8648921810607944,1.0669561464630708,0.7463957440471813,26.855522151412536
texture,identity,108.0,0.8106164287331652,1.0,0.6737195316733084,24.791126377677685
texture,restormer_deblur,108.0,0.8482912945826818,1.0464768101337338,0.6991035381474373,24.731208229209294
texture,wiener,108.0,0.5716678863126516,0.7052261292138584,0.11334953159573036,17.57503745720012
