restorer,detector,n_cells,auroc_clean,auroc_degraded,auroc_method,gap_closed_agg,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed_agg
divide_lpres_off,padim,36,0.8671875,0.6618923611111112,0.5948350694444444,-0.32663847780126853,0.9701532963095926,0.9184828615593504,0.8758186801647293,-0.8256981308720468
divide_lpres_on,padim,36,0.8671875,0.6618923611111112,0.6050347222222222,-0.27695560253699786,0.9701532963095926,0.9184828615593504,0.8989135666170982,-0.3787329260309805
identity,padim,36,0.8671875,0.6618923611111112,0.6618923611111112,0.0,0.9701532963095926,0.9184828615593504,0.9184828615593504,0.0
restormer_deblur,padim,36,0.8671875,0.6618923611111112,0.6688368055555556,0.03382663847780126,0.9701532963095926,0.9184828615593504,0.9267123336768458,0.15926848994543363
wiener,padim,36,0.8671875,0.6618923611111112,0.5713975694444444,-0.4408033826638478,0.9701532963095926,0.9184828615593504,0.8605906199719731,-1.12041328599632
divide_lpres_off,patchcore,36,0.78125,0.5460069444444444,0.5907118055555556,0.1900369003690037,0.962917093161668,0.7930220695714795,0.8109067200470806,0.10526883070302016
divide_lpres_on,patchcore,36,0.78125,0.5460069444444444,0.5904947916666666,0.18911439114391146,0.962917093161668,0.7930220695714795,0.8438226591294781,0.29901163956713017
identity,patchcore,36,0.78125,0.5460069444444444,0.5460069444444444,0.0,0.962917093161668,0.7930220695714795,0.7930220695714795,0.0
restormer_deblur,patchcore,36,0.78125,0.5460069444444444,0.5564236111111112,0.04428044280442804,0.962917093161668,0.7930220695714795,0.8064850793471899,0.07924310842785531
wiener,patchcore,36,0.78125,0.5460069444444444,0.5668402777777778,0.08856088560885608,0.962917093161668,0.7930220695714795,0.8235221538958455,0.17952311774555912
