category,image,anomaly_kind,area_frac,family,severity,restorer,tier,drr,acg,dremr,psnr_normal,psnr_full,ssim_full,psnr_degraded,drr_identity,drr_rel
carpet,0,texture,0.0123291015625,defocus,1,identity,classical,0.9643410444259644,1.0,0.0,26.898593073883855,26.92155651942911,0.9167745113372803,26.92155651942911,0.9643410444259644,1.0
carpet,0,texture,0.0123291015625,defocus,1,gaussian,classical,0.9263247847557068,1.2945950698891524,-0.8701363706431879,21.52490856265868,21.554539630485323,0.6443800330162048,26.92155651942911,0.9643410444259644,0.9605779927236352
carpet,0,texture,0.0123291015625,defocus,1,bilateral,classical,0.9649752378463745,1.0890912577415273,-0.1362375950552941,25.772833224323357,25.79565957850083,0.8837916851043701,26.92155651942911,0.9643410444259644,1.0006576443303703
carpet,0,texture,0.0123291015625,defocus,1,nlm,classical,0.9683568477630615,1.0018646705479302,0.009504236913038588,26.848098503790297,26.862626623094474,0.9167382717132568,26.92155651942911,0.9643410444259644,1.004164297849095
carpet,0,texture,0.0123291015625,defocus,1,clahe,classical,1.2066022157669067,0.7221938987089336,-2.0725850893453557,17.310026439686474,17.28958508755275,0.8438941836357117,26.92155651942911,0.9643410444259644,1.2512193924973414
carpet,0,texture,0.0123291015625,defocus,1,msrcr,classical,0.9883248209953308,0.6095857191550537,-6.077647460009857,11.46442424514834,11.459075949555794,0.7552938461303711,26.92155651942911,0.9643410444259644,1.024870637528078
carpet,0,texture,0.0123291015625,defocus,1,wiener,classical,0.5008723139762878,0.01795483070547365,-6.414085988343464,9.902525680192799,9.881652529389699,-0.023075519129633904,26.92155651942911,0.9643410444259644,0.519393337939316
carpet,0,texture,0.0123291015625,defocus,1,classical_pipeline,classical,0.4474616050720215,0.0536467951311704,-4.849744238440824,11.7654101140266,11.717204877874462,-0.031333670020103455,26.92155651942911,0.9643410444259644,0.4640076326299877
carpet,0,texture,0.0123291015625,defocus,2,identity,classical,0.9295088648796082,1.0,0.0,21.42068524791039,21.4499360752465,0.6399627327919006,21.4499360752465,0.9295088648796082,1.0
carpet,0,texture,0.0123291015625,defocus,2,gaussian,classical,0.9056781530380249,1.1719426750008701,-0.182541888702914,19.987526832910174,20.018189050908987,0.45820891857147217,21.4499360752465,0.9295088648796082,0.9743620391994111
