restorer,drr_mean,drr_rel_mean,residual_corr_mean,acg_mean,dremr_mean,psnr_normal,n
classical_pipeline,0.3937960093745058,0.48824798078280307,,0.47252209351281366,-10.282224837337882,12.55053266868392,1800
wiener,0.41042799453276796,0.5088691475204484,,0.5325472895039802,-5.903706944745658,12.98318004995498,1800
gaussian,0.7263259274262479,0.9005351984631378,,1.1305145041504825,-0.19391296144636064,24.564257698367946,1800
nlm,0.7771727824178783,0.9635776714385553,,1.0572552023914212,-0.012865264811808622,25.96518128744343,1800
bilateral,0.7904468627810598,0.9800355399283004,,1.048945670811058,-0.013449045072285747,24.93851904560576,1800
identity,0.8065491817152765,1.0,,1.0,0.0,24.67360748373428,1800
clahe,1.2646213566405236,1.5679407844058209,,1.3279406507510676,-2.34031241461881,18.714215473235942,1800
msrcr,1.292723483079755,1.6027832057687277,,1.0659530928370142,-7.661896415732628,15.193982448562947,1800
