restorer,drr_mean,drr_rel_mean,residual_corr_mean,acg_mean,dremr_mean,psnr_normal,n
wiener,0.48783019352680035,0.6156218479440753,,0.617681054458711,-2.0997209053803343,16.502437813687646,270
classical_pipeline,0.4896632988137197,0.6179351522027781,,0.9767977651930452,-4.825278477985028,16.758022016385784,270
restormer,0.7278136149216691,0.9184711576330918,,1.2864602900212854,0.051233151452762186,25.13029514453109,270
nlm,0.7334573908846963,0.9255933731782645,,1.177642810978786,0.07289282324817695,25.82594082742198,270
gaussian,0.7349710206994334,0.9275035123947715,,1.2881749837097667,0.017965804433414664,24.827167779332303,270
bilateral,0.7827502355925928,0.9877989368193933,,1.0579663626061822,0.037122696513594906,23.511902205714318,270
identity,0.7924185848113632,1.0,,1.0,0.0,22.835264473901773,270
nafnet,0.847484397191605,1.069490813864935,,0.9108320414819259,-0.6953536705309505,21.10958280936594,270
msrcr,1.1881359559918228,1.499379215436575,,0.9801803901351998,-4.513532644410853,15.523236541849867,270
clahe,1.2433892127102741,1.569106576426732,,1.0947268186983177,-1.7305303298429164,17.799380471927346,270
