run_name : train_pcim_cpu
device   : cpu
smoke    : False
[train_pcim_cpu] loss scale factors (calibrated at step 1): {'rec': 0.2663, 'deg': 0.1527, 'freq': 0.0028, 'pres': 0.5373}
[train_pcim_cpu] step 4450/15000  total=0.1958  rel_drr=0.912
[train_pcim_cpu] step 4500/15000  total=0.2845  rel_drr=0.836
[train_pcim_cpu] step 4550/15000  total=0.2216  rel_drr=0.836
[train_pcim_cpu] step 4600/15000  total=0.2615  rel_drr=0.836
[train_pcim_cpu] step 4650/15000  total=0.1940  rel_drr=0.836
[train_pcim_cpu] step 4700/15000  total=0.8050  rel_drr=0.836
[train_pcim_cpu] step 4750/15000  total=0.2629  rel_drr=0.836
[train_pcim_cpu] step 4800/15000  total=0.4452  rel_drr=0.836
[train_pcim_cpu] step 4850/15000  total=0.2258  rel_drr=0.836
[train_pcim_cpu] step 4900/15000  total=0.2797  rel_drr=0.938
[train_pcim_cpu] step 4950/15000  total=0.2304  rel_drr=0.938
[train_pcim_cpu] step 5000/15000  total=0.2573  rel_drr=0.938
[train_pcim_cpu] step 5050/15000  total=0.2588  rel_drr=0.938
[train_pcim_cpu] step 5100/15000  total=0.3241  rel_drr=0.938
[train_pcim_cpu] step 5150/15000  total=0.5507  rel_drr=0.938
[train_pcim_cpu] step 5200/15000  total=0.3656  rel_drr=0.938
[train_pcim_cpu] step 5250/15000  total=0.1791  rel_drr=0.795
[train_pcim_cpu] step 5300/15000  total=0.3426  rel_drr=0.795
[train_pcim_cpu] step 5350/15000  total=0.1650  rel_drr=0.795
[train_pcim_cpu] step 5400/15000  total=0.1760  rel_drr=0.795
[train_pcim_cpu] step 5450/15000  total=0.1900  rel_drr=0.795
[train_pcim_cpu] step 5500/15000  total=0.3354  rel_drr=0.795
[train_pcim_cpu] step 5550/15000  total=0.1837  rel_drr=0.795
[train_pcim_cpu] step 5600/15000  total=0.1808  rel_drr=0.795
[train_pcim_cpu] step 5650/15000  total=0.2103  rel_drr=0.945
[train_pcim_cpu] step 5700/15000  total=0.2810  rel_drr=0.945
[train_pcim_cpu] step 5750/15000  total=0.2723  rel_drr=0.945
[train_pcim_cpu] step 5800/15000  total=0.3667  rel_drr=0.945
[train_pcim_cpu] step 5850/15000  total=0.3542  rel_drr=0.945
[train_pcim_cpu] step 5900/15000  total=0.3791  rel_drr=0.945
[train_pcim_cpu] step 5950/15000  total=0.1481  rel_drr=0.945
[train_pcim_cpu] step 6000/15000  total=0.1907  rel_drr=0.909
[train_pcim_cpu] step 6050/15000  total=0.3194  rel_drr=0.909
[train_pcim_cpu] step 6100/15000  total=0.2090  rel_drr=0.909
[train_pcim_cpu] step 6150/15000  total=0.2268  rel_drr=0.909
[train_pcim_cpu] step 6200/15000  total=0.2164  rel_drr=0.909
[train_pcim_cpu] step 6250/15000  total=0.3015  rel_drr=0.909
[train_pcim_cpu] step 6300/15000  total=0.1189  rel_drr=0.909
[train_pcim_cpu] step 6350/15000  total=0.2537  rel_drr=0.909
[train_pcim_cpu] step 6400/15000  total=0.2404  rel_drr=0.949
[train_pcim_cpu] step 6450/15000  total=0.2650  rel_drr=0.949
[train_pcim_cpu] step 6500/15000  total=0.2337  rel_drr=0.949
[train_pcim_cpu] step 6550/15000  total=0.2108  rel_drr=0.949
[train_pcim_cpu] step 6600/15000  total=0.3645  rel_drr=0.949
[train_pcim_cpu] step 6650/15000  total=0.2346  rel_drr=0.949
[train_pcim_cpu] step 6700/15000  total=0.3979  rel_drr=0.949
[train_pcim_cpu] step 6750/15000  total=0.2031  rel_drr=0.807
[train_pcim_cpu] step 6800/15000  total=0.1041  rel_drr=0.807
[train_pcim_cpu] step 6850/15000  total=0.6986  rel_drr=0.807
[train_pcim_cpu] step 6900/15000  total=0.2851  rel_drr=0.807
[train_pcim_cpu] step 6950/15000  total=0.1541  rel_drr=0.807
[train_pcim_cpu] step 7000/15000  total=0.2759  rel_drr=0.807
[train_pcim_cpu] step 7050/15000  total=0.2709  rel_drr=0.807
[train_pcim_cpu] step 7100/15000  total=0.2151  rel_drr=0.807
[train_pcim_cpu] step 7150/15000  total=0.3054  rel_drr=0.923
[train_pcim_cpu] step 7200/15000  total=0.1048  rel_drr=0.923
[train_pcim_cpu] step 7250/15000  total=0.2181  rel_drr=0.923
